Vicky1083 wrote a review Sep 2016,50,"Mumbai - Bengaluru
Domestic
Premium Economy","Mumbai - Bengaluru
Domestic
Premium Economy","Mumbai - Bengaluru
Domestic
Premium Economy",Amazing experience,"The crew was courteous, the service great - I was given a pillow for my comfort, followed by wet towel to refresh myself. This was followed by an appetiser and a yummy meal. Leg space was enough. Flight interiors seemed to be quite good as well."
Rishi Verma wrote a review Sep 2016,50,"Bengaluru - Varanasi
Domestic
Economy","Bengaluru - Varanasi
Domestic
Economy","Bengaluru - Varanasi
Domestic
Economy",indeed a new feeling.,"i flew from banglore to varanasi via delhi with 3-4 hour layover at t3 terminal in delhi.
i'm going to straight away point out the good and bad about vistara.
pros
1. access to air bridges on every airport, very good for comfortable and fast boarding and de boarding.
2.awesome food which includes in flight fair.
3.the inflight wifi system to which you can connect n watch movie or series they have, plus newspaper n the hospitality.
4. very smooth flying experience.
cons
1. air hostess are still inexperienced and it can been seen in thier flight operations.
2. if you are flying economy, there is no special treatment for you but hey you get your conplimemtry meal!!"
Vikas J wrote a review Sep 2016,50,"Ahmedabad - New Delhi
Domestic
Premium Economy","Ahmedabad - New Delhi
Domestic
Premium Economy","Ahmedabad - New Delhi
Domestic
Premium Economy",Vistara - An Airline to fly with,"I was pleasantly surprised by the manner in which the passengers were taken care of, from check-in till boarding. Very systematic check-in and professionally managed boarding (similar to Emirates when you are flying out of Dubai). The upkeep of the aircraft, the food they serve and the in-flight service they provide is great. Hope they are able to sustain and maintain their standards. After flying Vistara first time I always prefer Vistara whenever there is an option and have flown four times so far."
Ashraf383 wrote a review Sep 2016,50,"New Delhi - Kochi (Cochin)
Domestic
Premium Economy","New Delhi - Kochi (Cochin)
Domestic
Premium Economy","New Delhi - Kochi (Cochin)
Domestic
Premium Economy",A Memorable Flight,"I was not feeling well and when the airhostess want me to select the food, I told I dont want and fell into sleep, much before take off. After 2 hours, I saw my seat was reclined, all the four rows window shutter downed and I had been covered with a blanket. When I woke up after 2 hours of flight, the cabin crew gave me desert, which was very good, and yet another airhostess came and asked me whether she can get me a lemonade specially made for me. They made me so happy, by the time I landed in Kochi, my fever flew away. If I rightly remember some of the names, it was Sonam, Priyanka and 2 others. Special thanks to them all.

Enjoyed Tata""s and Singapore airlines hospitality to the core."
Jawad H wrote a review Sep 2016,40,"Hyderabad - New Delhi
Domestic
Economy","Hyderabad - New Delhi
Domestic
Economy","Hyderabad - New Delhi
Domestic
Economy",Hyderabad to Delhi Oneway,"My second experience after flying Indigo to Hyderabad from Delhi. The return flight with Vistara was a pleasant surprise.

I was not expecting a hot meal on a domestic private airline and we got a hot meal. The staff was helpful and friendly, the aircraft were clean and new, the seats were comfortable and there was good legroom.

The only thing I found irritating is having to go through security, opening hand luggage again before boarding the aircraft when you have already gone through the long lines at check in and the long and slow security at the airport. Maybe the date of travel being 14 August, day before Independence day may have been a factor in the additional check."
J_Kahlon wrote a review Sep 2016,50,"Chandigarh - New Delhi
Domestic
Economy","Chandigarh - New Delhi
Domestic
Economy","Chandigarh - New Delhi
Domestic
Economy",Nice flight,Good flight with good services. The seating wasn't much comfortable but the flight was quiet. This added the comfort level.
ggcal wrote a review Sep 2016,30,"Kolkata - New Delhi
Domestic
Economy","Kolkata - New Delhi
Domestic
Economy","Kolkata - New Delhi
Domestic
Economy",Disappointed with the un-professionalism of ground staff of an otherwise excellent airline.,"I had already paid for and bought extra baggage allowance. At the check-in counter, without even bothering with seeing my PNR, the staff member reminded me twice that my baggage was in excess. Secondly, the flight was delayed by an hour and neither he informed nor the boarding gate informed me of the same. Made to sit there for a long time and unsure whether I had time for a quick meal, we boarded and the flight served insufficient quantity of food though it is my understanding that most full service airlines serve lunch if they are airborne between 12.00 pm and 2.00 pm. All they served was a snack. Also they had no system for a passenger to pay for and upgrade himself either at Chandigarh or at the Gate at New Delhi. Apart form that In-Flight experience was great and not much different from other full fare airlines. Honestly, I expected more from the name of Tatas and SIA."
rakesh m wrote a review Sep 2016,50,"Goa - New Delhi
Domestic
Economy","Goa - New Delhi
Domestic
Economy","Goa - New Delhi
Domestic
Economy",Vistara--The flight I cherish,"I had gone to GOA with the basic purpose of experiencing VISTARA ,So when i got the flight from Goa to Delhi via Mumbai there were no secong thoughts. The staff helpful, the service excellent and the aircraft neat and clean. The food was tasty unlike other domestic airlines. So doing a 3 hour journey in 5.5 hours was worth it.The only problem was at Goa where the ground staff looked jaded ----Perhaps handling too many flights at tha same time."
ShabalaM wrote a review Sep 2016,50,"New Delhi - Varanasi
Domestic
Economy","New Delhi - Varanasi
Domestic
Economy","New Delhi - Varanasi
Domestic
Economy",Class Apart,The professionalism and courteousness of ground staff and inflight crew is par excellence. The leg room is much more than any other airlines and the food is sumptuous and the menu refreshingly new. The punctuality is another plus point.
satyapav wrote a review Sep 2016,40,"Chandigarh - Hyderabad
Domestic
Economy","Chandigarh - Hyderabad
Domestic
Economy","Chandigarh - Hyderabad
Domestic
Economy",Best in class domestic airline in India,"I had pleasant surprise when it comes to domestic travel with Vistara. An alliance between Tata and Singapore Airlines has blended perfectly to bring in the right experience and efficiency without losing the Indianness in the service. The food was served hot, a rarity in domestic travel and the ample legroom is what I liked the most. A much needed alternative to the low cost carriers currently operating based in India."
SomyaSharma27 wrote a review Aug 2016,50,"Bhubaneswar - Mumbai
Domestic
Business Class","Bhubaneswar - Mumbai
Domestic
Business Class","Bhubaneswar - Mumbai
Domestic
Business Class",This upcoming airline has made a mark for itself!,"Vistara has surprised me on two occasions by upgrading me once to business class and once to premium economy without having asked for.. Premium airlines at great price, excellent service, delicious choice of food.. It is at par with any good international airlines' standards.."
myworld1234 wrote a review Aug 2016,40,"New Delhi - Ahmedabad
Domestic
Economy","New Delhi - Ahmedabad
Domestic
Economy","New Delhi - Ahmedabad
Domestic
Economy",A combination of Efficiency and Luxury,"The flight is nice. The staff is not arrogant or careless. Just trained to help if required.
The food is the highlight of the airline, very good food, fresh and tasty.
Efficient ground staff.
They need to increase the frequency and connectivity so that it becomes the preferred airline for the business travellers."
Anurag Sharma wrote a review Aug 2016,50,"Hyderabad - New Delhi
Domestic
Economy","Hyderabad - New Delhi
Domestic
Economy","Hyderabad - New Delhi
Domestic
Economy",The upcoming airliner has made its mark,"This airline has been doing very good. They are really punctual and since they are new have really good and neat aircrafts. The staff is very courteous apart from the occasional pissed off ones. The refreshments are decent. They have started hiking their prices these days, which is a little disappointing but then again doesn't every airline do that once they get good feedback."
sachinsj89 wrote a review Aug 2016,10,"Goa - Mumbai
Domestic
Economy","Goa - Mumbai
Domestic
Economy","Goa - Mumbai
Domestic
Economy",Flight cancelled no refund yet,I would definetly recommend people to stay away from this airline. One of the worst start ups. Probably inspired by kingfisher airlines. I was suppose to fly from Goa to Mumbai on the 23rd of August. Three weeks before the flight Vistara decides to cancel all flight from goa to mumbai for the week stating technical reasons. I am told by the executive on the phone that i will be getting my refund in 5-7 working days. Its been over 24 day inspite of repeated followup's by email no sign of a refund. I have been asked to be patient as my payment is being processed. If passengers want to avoid this please go for a reputed airlines and not for startup like these who have big names backing them but pathetic service.
raythealchemist wrote a review Aug 2016,50,"Kochi (Cochin) - Mumbai
Domestic
Economy","Kochi (Cochin) - Mumbai
Domestic
Economy","Kochi (Cochin) - Mumbai
Domestic
Economy",First time on board Vistara,The date was 15th august. First time on Vistara. good service by crew. Though ground staff are very strict about hand baggage weight.
i11roshan wrote a review Aug 2016,50,"Hyderabad - New Delhi
Domestic
Economy","Hyderabad - New Delhi
Domestic
Economy","Hyderabad - New Delhi
Domestic
Economy",cheerful experience,"The service is awesome. Check in, luggage handling, serving of food, etc. The cabin crew were all girls from all parts of India. I liked this concept."
