,Laptop Name,Price,Overall Rating,Total Ratings,Total Reviews,Processor,RAM,OS,Storage,Screen,Warranty
355,HP 14s Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-DR1008TU Thin and Light Laptop,"₹45,990",4.4,807 Ratings , 105 Reviews,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,"HP Support Assistant, HP Documentation, HP Smart, HP SSRM, Microsoft Office Home and Student 2019"
356,Lenovo Yoga Slim 7 Ryzen 7 Octa Core 4800U - (8 GB/512 GB SSD/Windows 10 Home) 14ARE05 Thin and Light ...,"₹76,500",5,6 Ratings , 2 Reviews,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,Microsoft Office Home and Student 2019
357,DELL G3 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX ...,"₹73,900",4.4,318 Ratings , 35 Reviews,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail"
358,acer Nitro 5 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce...,"₹69,990",4.4,827 Ratings , 134 Reviews,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,"Acer Care Center, Acer Product Registration"
359,Avita Liber Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) NS13A2IN199P Thin and Light Laptop,"₹38,990",4.2,439 Ratings , 78 Reviews,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,33.78 cm (13.3 inch) Display,18 Months Warranty + 6 Months Extended Warranty (6 Months Extended Warranty Upon Online Product Registration on www.avita-india.com)
360,DELL Vostro Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Vostro 3401 Thin and Light Laptop,"₹39,300",4,578 Ratings , 63 Reviews,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,Microsoft Office Home and Student 2019
361,ASUS Celeron Dual Core - (4 GB/1 TB HDD/Windows 10 Home) X515MA-EJ001T Thin and Light Laptop,"₹24,500",4,27 Ratings , 4 Reviews,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inches) Display,"Splendid (All Models), Tru2Life (Intel Platform Models), AppDeals (All Models), Link to MyASUS (All Models, Bluetooth Needed)"
362,ASUS Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X515JA-EJ321T Thin and Light Laptop,"₹35,900",4.4,212 Ratings , 28 Reviews,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,"My Asus, System Diagnosis, Tru2Life, Splendid, AppDeals"
363,ASUS Pentium Quad Core - (4 GB/1 TB HDD/Windows 10 Home) X515MA-EJ101T Thin and Light Laptop,"₹26,300",4,44 Ratings , 9 Reviews,Intel Pentium Quad Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,"My Asus, System Diagnosis, Splendid, Tru2Life, AppDeals"
364,ASUS VivoBook 14 Core i5 11th Gen - (8 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) S433EA-AM503TS Th...,"₹65,000",5,3 Ratings , 1 Reviews,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,"Splendid, My Asus, Tru2Life, Microsoft Office Home and Student 2019"
