Deepak M wrote a review May 2018,40,New Delhi - Ahmedabad,Domestic,"New Delhi - Ahmedabad
Domestic
Economy",One of the finest in Indian skies,"One of the finest in Indian skies, perhaps the best. Crew team was very cordial. Punctuality too was good"
GoraDelhi wrote a review May 2018,40,Bhubaneswar - New Delhi,Domestic,"Bhubaneswar - New Delhi
Domestic
Economy",Pleasant way to fly,"Flew age old Indian airlines in domestic sector and then Eastwest Airlines, Modiluft, Kingfisher; not to forget to mention Jet Airways and now Indigo. Flying Vistara, it was visible that they avoided the mistakes of many of the airlines mentioned while keeping the positives. However, the European/International concept of Premium Economy in single aisle aircraft is a misfit. The service was very good comparing the peers in the Indian sky. Liked the announcement from the cockpit on arrival just regretting the delay without saying ""due to late arrival of the incoming aircraft"", the most heard in most of the airlines."
Prakash40 wrote a review May 2018,50,New Delhi - Ranchi,Domestic,"New Delhi - Ranchi
Domestic
Business Class","Check in was smooth and person handled excess baggage issue in a very friendly and helpful manner, Excellent assistance.","Memorable trio, though short one. very good check in. The staff handled issue of excess baggage in very helpful manner. Good service on ground by friendly staff, and during flight by cabin crew."
guru_gti wrote a review May 2018,50,Bengaluru - New Delhi,Domestic,"Bengaluru - New Delhi
Domestic
Economy",Reminded me of the Kingfisher days,"They are the best in India right now. A bit Expensive compared to others but then the experience is well worth it.

Wishing the team all the best."
Vijit C wrote a review May 2018,50,New Delhi - Varanasi,Domestic,"New Delhi - Varanasi
Domestic
Economy",My flight to Varanasi,"Hello all,

The more I fly by Vistara the more I have started relying on it. The customer Service experience to travel exeperience everything is immaculate and friendly. I like their timeliness and want to give a special mention to the ‘innovative meal box’ which is easy to pack and easy to handle and tastes so good . Thank you"
Bipin K wrote a review May 2018,40,Ahmedabad - New Delhi,Domestic,"Ahmedabad - New Delhi
Domestic
Economy","Among the airlines to give free food, quality wise better",Service wise its good compared to other airlines. Free food is given like in Jet Airways. But most often expensive compared to other airlines.
Shiv Menon wrote a review May 2018,40,Kolkata - Chennai,Domestic,"Kolkata - Chennai
Domestic
Economy",Fly with comfort,"Check in at Calcutta airport was smooth and fast , and I must say very accomodating and helpful.

The seats are comfortable with a well designed aircraft to give one fantastic leg room , the cabin crew are promt and quick providing expectional serivce .

Food is simple hot and quite good .

Well Done Vistara !"
abbasisonly wrote a review May 2018,50,Bengaluru - New Delhi,Domestic,"Bengaluru - New Delhi
Domestic
Business Class","Phenomenal service by Jaijot, in flight crew",UK816 on 14 May. A world class service by in flight crew Jaijot. She delivered an exceptional world class service and took care of guests as if we were guests at her home. Service which can’t be expressed in words. Thanks for a wonderful experience
Ramneek Jain wrote a review May 2018,20,Goa - New Delhi,Domestic,"Goa - New Delhi
Domestic
Economy",Vistara,It's not a great experience to travel with Vistara this time. Flight was delayed by more than 2 hours. Have to wait for long to reach destination. All fun was vanished. Flight was not properly cleaned and have to wait for appx 30 minutes to collect luggage at destination airport
Vijay k wrote a review May 2018,50,New Delhi - Chennai,Domestic,"New Delhi - Chennai
Domestic
Premium Economy",They are redefining air travel,I know I was traveling in premium economy but I loved the experience. Worth the money. Hope they can sustain.. great job 👍
Atlas1669 wrote a review May 2018,40,New Delhi - Goa,Domestic,"New Delhi - Goa
Domestic
Economy",Really good flight,"The flight on Vistara was so comfortable and superior to the other internal airlines we used in India. Seating was spacious. The aircraft was new, clean and fresh. The staff were courteous and friendly. Check in was easy."
chandrassekhar wrote a review May 2018,40,New Delhi - Mumbai,Domestic,"New Delhi - Mumbai
Domestic
Economy",Loved It,"This was my first flight in Vistara and I must say it is the second best after Jet Airways. I loved the ambiance of the flight, leg room, presentation of the food and overall service. I must say it is way better than any of the other three, Indigo, SpiceJet and GoAir. Only thing it needs to increase its frequency and timing of flights as well as more coverage of cities."
Taran sethi wrote a review May 2018,50,Amritsar - New Delhi,Domestic,"Amritsar - New Delhi
Domestic
Economy",Best airline,India's best airline. I had travelled first time by air and it is fantastic .their service is very good and crew is also friendly.
Sanjeev M wrote a review May 2018,40,Mumbai - New Delhi,Domestic,"Mumbai - New Delhi
Domestic
Economy",Spacious sitting and good services,I tried Vistara for 1st time and found it really worth one of the best airlines in India. Seats were comfortable and spacious and they had good service too
tjjohn wrote a review May 2018,40,Kochi (Cochin) - New Delhi,Domestic,"Kochi (Cochin) - New Delhi
Domestic
Economy",The best option available in India today,"As on date this low cost airline operating in India is the best available option compared to the several other airlines.

I traveled twice by this airline first from new Delhi to Kochi and then from Kochi to New Delhi after a fortnight both times the flight took off in time and landed in time . The airline also provides snacks and meals cost of which is included in the ticket.

In most other similar airlines I had traveled before one had to buy one's meals at inflated prices.

The seats were spaced reasonably good and I did not feel cramped as I felt in other airlines. However mind you many - not all economy seats - do not have lean back seats. On a three hour flight a lean back seat affords slightly improved comfort . On this flight my wife and I had seat No. 09A and 09B and both were non reclining seats.

The cabin crew however was gracious enough to shift us to another set row with reclining seats.

The cabin service was also good .

I recommend this airline all"
setty2015 wrote a review May 2018,50,Ahmedabad - Bengaluru,Domestic,"Ahmedabad - Bengaluru
Domestic
Economy",Vistara flights,"My Vistara flight from Ahmedabad to Bengaluru was very pleasant and un like low cost Airlines, they provided Dinner during the flight and cost was included in the fare.

staff at Ahmedabad were very helping and it took less time for check in.

Pilot kept us informed as there was heavy rains at Bengaluru. Even though flight was delayed by half an hour, we were kept informed all the time"
Pratyaksh G wrote a review May 2018,50,Goa - New Delhi,Domestic,"Goa - New Delhi
Domestic
Premium Economy",Amazing servuce,The airlines has a very good premium economy but the availability is a bit less and they have decreased the number of flights to various locations
